ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service
1697047098.876039,C1hZSe2chhkyC5Xw51,10.10.10.102,59772,162.125.8.18,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,www.dropbox.com,False,h2,True,CsxknGIti,"['cdaf656800ac61ffa8584b5eec5baef5470a3c8e2a931a83c8d04c0265fa6238', '52274c57ce4dee3b49db7a7ff708c040f771898b3be88725a86fb4430182fe14']",[],1.0,872d25965acc99cfd01d2df1b875090d,9d9ce860f1b1cbef07b019450cb368d8,1697047098.827524,10.10.10.102,59772,162.125.8.18,443,tcp,2.483454942703247,1293.0,6557.0,SF,True,False,0,ShADadFfRt,17,1985,19,7372,ssl
1697047099.847571,CRyfye2yhSDTQU8Wu9,10.10.10.102,59778,162.125.8.15,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,ucdd5d6bc9869417d2bbd7f22955.dl.dropboxusercontent.com,False,h2,True,CsxknGIti,"['fcf44ab4f5ca29a318c9fabfe6e8ac5967bb2e20223dbc24e8dde45592ad9e0a', '52274c57ce4dee3b49db7a7ff708c040f771898b3be88725a86fb4430182fe14']",[],1.0,68e99ec6b24383421f3189f77ca2e7f9,9d9ce860f1b1cbef07b019450cb368d8,1697047099.805756,10.10.10.102,59778,162.125.8.15,443,tcp,20.98026990890503,1392.0,1628435.0,SF,True,False,0,ShADadtFfR,199,9712,1196,1677663,ssl
1743000313.187617,CRG80nVJvsloJV6V5,10.3.26.44,49707,199.249.180.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,www.freepetchipregistry.com,False,,True,CsxknGIti,"['e807e919bfb7ea0c19b07b7dcf9653401788d5c11cc76f1a9d6a295f5992598b', '7fa4ff68ec04a99d7528d5085f94907f4d1dd1c5381bacdc832ed5c960214676', '68b9c761219a5b1f0131784474665db61bbdb109e00f05ca9f74244ee5f5f52b', 'd7a7a0fb5d7e2731d771e9484ebcdef71d5f0c3e0a2948782bc83ee0ea699ef4']",[],1.0,c26200bb09ca50db5c2cf2b4b19a07c5,389ed42c02ebecc32e73aa31def07e14,1743000313.123956,10.3.26.44,49707,199.249.180.115,443,tcp,0.39124798774719205,2708.0,22722.0,SF,True,False,0,ShADadfF,13,3240,22,23614,ssl
1743000313.591669,CrIzV93oxqMmgjfQpl,10.3.26.44,49715,142.250.113.95,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,fonts.googleapis.com,False,,True,CsiI,nan,nan,,ef7355c0627767a0873c8b1062d88b62,eb1d94daa7e0344597e756a1fb6e7054,1743000313.553515,10.3.26.44,49715,142.250.113.95,443,tcp,37.5042450428009,2587.0,9203.0,SF,True,False,0,ShADadFf,17,3279,20,10015,ssl
1743000313.586268,CJg0873XfsX5E9uaDj,10.3.26.44,49712,199.249.180.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,www.freepetchipregistry.com,True,,True,CsiI,nan,nan,,7d7e635b1e00ef54f8590d461a9712bc,fbe78c619e7ea20046131294ad087f05,1743000313.518098,10.3.26.44,49712,199.249.180.115,443,tcp,0.330539941787719,2736.0,24358.0,SF,True,False,0,ShADadfF,14,3308,25,25370,ssl
1743000313.59774,CPKNrI1JElKWg0ZZwl,10.3.26.44,49716,142.251.186.95,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,ajax.googleapis.com,False,,True,CsiI,nan,nan,,9d8ded1c1405c783a6e93cc051e4617c,eb1d94daa7e0344597e756a1fb6e7054,1743000313.5541,10.3.26.44,49716,142.251.186.95,443,tcp,37.504786014556885,2463.0,40314.0,SF,True,False,0,ShADadFf,23,3395,37,41806,ssl
1743000313.587211,CRbhFU2PVMrdtCKSbl,10.3.26.44,49708,199.249.180.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,www.freepetchipregistry.com,True,,True,CsiI,nan,nan,,0bbbd13c31d45591f8548a8bb9262f38,fbe78c619e7ea20046131294ad087f05,1743000313.516859,10.3.26.44,49708,199.249.180.115,443,tcp,0.24821186065673803,2683.0,13897.0,S1,True,False,0,ShADad,9,3055,15,14509,ssl
1743000313.58675,CVGWTx3wIoNT6iHTFc,10.3.26.44,49711,199.249.180.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,www.freepetchipregistry.com,True,,True,CsiI,nan,nan,,0acf53743a6b48c47ee8569abd72a570,fbe78c619e7ea20046131294ad087f05,1743000313.517997,10.3.26.44,49711,199.249.180.115,443,tcp,0.24903488159179601,2716.0,9769.0,SF,True,False,0,ShADadfF,9,3088,15,10381,ssl
1743000313.587787,C7tm1h3ISYWFHizoT7,10.3.26.44,49713,199.249.180.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,www.freepetchipregistry.com,True,,True,CsiI,nan,nan,,0cada0338f1f5efbe4f66885c50a39a8,fbe78c619e7ea20046131294ad087f05,1743000313.518625,10.3.26.44,49713,199.249.180.115,443,tcp,0.24926304817199701,2741.0,8358.0,SF,True,False,0,ShADadfF,9,3113,14,8930,ssl
1743000313.588272,CAxTSu3N3Qid8UAzUe,10.3.26.44,49710,199.249.180.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,www.freepetchipregistry.com,True,,True,CsiI,nan,nan,,4e0277be7797efe3349ef6b119528a7c,fbe78c619e7ea20046131294ad087f05,1743000313.517734,10.3.26.44,49710,199.249.180.115,443,tcp,0.250887870788574,2775.0,13897.0,S1,True,False,0,ShADad,9,3147,15,14509,ssl
