ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,resumed,established,ssl_history,cert_chain_fps,client_cert_chain_fps,ja3s,server_name,last_alert,next_protocol,sni_matches_cert,ja3,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1165.926967,C66lF83EZ83FvJMJmi,192.168.1.113,52901,195.88.209.128,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,False,False,sxkni,"['9892eba57957417899289eb94af6f2314f59b098c59e14fead0365bc47f372f6', '25847d668eb4f04fdd40b12b6b0740c567da7d024308eb6c2c96fe41d9de218d']",[],6aa98948bfa9626adc8d77e0f16d39c6,,,,,,1165.863843,192.168.1.113,52901,195.88.209.128,443,tcp,,100.40463999999996,0.0,3754.0,RSTRH,True,False,0,^hadtfr,0,0,14,4571,1
2446.785648,Ci7MoGW7OnLHtBgS1,192.168.1.113,52935,82.146.48.44,443,TLSv10,TLS_RSA_WITH_AES_128_CBC_SHA,,False,False,sxni,['af985329fc627561f1ea68a97f7d00caddfaea0842883582fef0b362b79ea4a3'],[],18e962e106761869a61045bed0e81c2c,,,,,,2446.729741,192.168.1.113,52935,82.146.48.44,443,tcp,,1.731987000000117,0.0,3496.0,SHR,True,False,0,^hadf,0,0,10,3908,1
2448.519451,CHbY5h4to4Mm2WmMU5,192.168.1.113,52936,82.202.226.138,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,False,False,sxkni,"['d6a44fa89c9da1a30588188698e79ec0a87fe810e5e009cd9240f695a7d83138', '25847d668eb4f04fdd40b12b6b0740c567da7d024308eb6c2c96fe41d9de218d']",[],3636ce615fb29b73e771c24c3a1331e3,,,,,,2448.462292,192.168.1.113,52936,82.202.226.138,443,tcp,,1.251244999999926,0.0,7421.0,SHR,True,False,0,^hadf,0,0,10,7833,1
4117.227878,C9jkrH3yHdA9R4me63,192.168.1.113,52982,195.88.209.128,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,False,False,sxkni,"['9892eba57957417899289eb94af6f2314f59b098c59e14fead0365bc47f372f6', '25847d668eb4f04fdd40b12b6b0740c567da7d024308eb6c2c96fe41d9de218d']",[],6aa98948bfa9626adc8d77e0f16d39c6,,,,,,4117.166086,192.168.1.113,52982,195.88.209.128,443,tcp,,100.40694499999972,0.0,3754.0,RSTRH,True,False,0,^hadfr,0,0,13,4286,1
4400.006922,CeGNhCbd9DttNphXg,192.168.1.130,49170,54.148.131.146,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,False,CsxknL,"['9b6269df6a393b6b2a1a0822a954799fe3577224f133566be8ef35aaf925ba59', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,tiles.services.mozilla.com,unknown_ca,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4399.578085,192.168.1.130,49170,54.148.131.146,443,tcp,ssl,1.338931999999658,210.0,2193.0,RSTO,True,False,0,ShADadR,6,462,5,2405,1
4401.402806,CTjnef43hTD56nco2a,192.168.1.130,49173,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,False,CsxknL,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,unknown_ca,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4401.022094,192.168.1.130,49173,199.182.216.166,443,tcp,ssl,1.1508860000003551,195.0,2139.0,RSTO,True,False,0,ShADadR,6,447,5,2351,1
4402.106223,CDdVea1ldT0Kq9eeae,192.168.1.130,49176,35.162.179.12,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,False,CsxknL,"['f1e38b519fdf45435c41cc8ff337b29fb197afd20677cf45680c3917fe0a417a', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,incoming.telemetry.mozilla.org,unknown_ca,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4401.844544,192.168.1.130,49176,35.162.179.12,443,tcp,ssl,1.09201800000028,214.0,2200.0,RSTO,True,False,0,ShADadR,6,466,5,2412,1
4402.536471,C2PoT33F5HLUM4A66b,192.168.1.130,49179,35.162.179.12,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,False,CsxknL,"['f1e38b519fdf45435c41cc8ff337b29fb197afd20677cf45680c3917fe0a417a', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,incoming.telemetry.mozilla.org,unknown_ca,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4402.280455,192.168.1.130,49179,35.162.179.12,443,tcp,ssl,1.115866999999525,214.0,2200.0,RSTO,True,False,0,ShADadR,6,466,5,2412,1
4416.962938,CsXwq32NCe9roZFU05,192.168.1.130,49183,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4416.516601,192.168.1.130,49183,199.182.216.166,443,tcp,ssl,140.84620600000017,4085.0,58456.0,RSTO,True,False,0,ShADadR,29,5257,54,60628,1
4420.722443,CZebph4Bs4Onpq7mg2,192.168.1.130,49185,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,,http/1.1,1.0,2efb07037a97b06201ab4fe7ec0c326e,4420.402432,192.168.1.130,49185,199.182.216.166,443,tcp,ssl,135.4868660000002,5197.0,10729.0,RSTO,True,False,0,ShADadR,22,6089,24,11701,1
4421.012922,C3qheF2DiY0a2einxj,192.168.1.130,49189,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,,http/1.1,1.0,2efb07037a97b06201ab4fe7ec0c326e,4420.738746,192.168.1.130,49189,199.182.216.166,443,tcp,ssl,195.16444599999977,5372.0,49495.0,RSTO,True,False,0,ShADadR,32,6664,50,51507,1
4421.215863,CHt9tt38XWy0hDL3k4,192.168.1.130,49193,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,,http/1.1,1.0,2efb07037a97b06201ab4fe7ec0c326e,4420.935274,192.168.1.130,49193,199.182.216.166,443,tcp,ssl,136.45123199999944,3978.0,26542.0,RSTO,True,False,0,ShADadR,23,4910,32,27834,1
4420.926259,COBBxq9cVkNrBUXo7,192.168.1.130,49188,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,,http/1.1,1.0,2efb07037a97b06201ab4fe7ec0c326e,4420.65253,192.168.1.130,49188,199.182.216.166,443,tcp,ssl,193.14410700000008,4852.0,82877.0,RSTO,True,False,0,ShADadR,42,6544,71,85729,1
4421.472705,CvCX4G1jo7vuravBDg,192.168.1.130,49198,199.182.216.166,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['72bf67ed70bdb49751738c634f68f37b3b014541d415395d782a34d3fc014d9d', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,www.pof.com,,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4421.2354,192.168.1.130,49198,199.182.216.166,443,tcp,ssl,85.9486880000004,4467.0,114043.0,RSTO,True,False,0,ShADadR,45,6279,92,117735,1
4423.003466,CEww6N3o1eDhSTKHsl,192.168.1.130,49205,35.162.179.12,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,False,True,CsxknGIti,"['f1e38b519fdf45435c41cc8ff337b29fb197afd20677cf45680c3917fe0a417a', '3c9d1727f5db0600f65818ba7c5f09b96a44e2bb67c654c029dbd305b1be7b3c']",[],b9bd7f629159de9b24f44d1bad01fda7,incoming.telemetry.mozilla.org,,http/1.1,1.0,0ffee3ba8e615ad22535e7f771690a28,4422.739798,192.168.1.130,49205,35.162.179.12,443,tcp,ssl,1.3731870000001432,364.0,2458.0,RSTO,True,False,0,ShADadR,7,656,6,2710,1
