ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,last_alert,next_protocol,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service
1499083129.326485,Cp2lWK3cnJamQUPhj,192.168.10.3,51856,65.55.44.109,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,v10.vortex-win.data.microsoft.com,False,True,CsxknGIi,"['5cec38260f599360d3b6a73ff3c6007e19de397613cd86d56a61f206486f89a0', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,d0ec4b50a944b182fc10ff51f883ccf7,d26ba888ffd53c3914cfbd00cf174690,,,1499083129.276344,192.168.10.3,51856.0,65.55.44.109,443.0,tcp,60.37661600112915,6505.0,4215.0,SF,True,False,2741.0,ShADdCaGFf,11.0,4216.0,10.0,4627.0,ssl
1499083167.455322,C0gybS1wjkJwCTtH72,192.168.10.50,50942,52.216.32.171,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,s3.amazonaws.com,False,True,CsxknGIi,"['6be2c04e442c0aa126e2e374c248fc093077df1a3810867decdfea113add4357', 'f9690880819f06cdcc0b2f224b207f2af6003fb57339b8679a160fa95208d62d']",[],1.0,2b8aaa95a836171ffc6466237edc9dee,ea615e28cb25adfb2f261151eab3314f,,,1499083167.37733,192.168.10.50,50942.0,52.216.32.171,443.0,tcp,60.4538938999176,742.0,29461.0,RSTR,True,False,14949.0,ShADadgcfRr,29.0,1922.0,27.0,19097.0,ssl
1499083224.912429,CKSwPo2n6wLe1UeXL8,192.168.10.12,51478,52.216.32.171,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,s3.amazonaws.com,False,False,Cs,nan,nan,,2b8aaa95a836171ffc6466237edc9dee,ea615e28cb25adfb2f261151eab3314f,,,1499083224.859933,192.168.10.12,51478.0,52.216.32.171,443.0,tcp,60.3989679813385,742.0,29461.0,RSTR,True,False,12680.0,ShADadcgfRr,26.0,1802.0,30.0,25153.0,ssl
1499083302.318501,Cf3Vat3l6Biyd44Csc,192.168.10.12,40952,74.125.29.108,465,,,,smtp.gmail.com,False,False,C,nan,nan,,403c97e40001a216ed720aad8830fcaf,,,,1499083300.860494,192.168.10.12,40952.0,74.125.29.108,465.0,tcp,7.584235191345215,1381.0,4520.0,SF,True,False,2836.0,ShADacgdfFr,22.0,2533.0,23.0,2876.0,ssl
1499083320.039803,CpOnrBbL7P9maFUL,192.168.10.9,1074,74.125.29.109,465,,,,smtp.gmail.com,False,False,CL,nan,nan,,8e3f1bf87bc652a20de63bfd4952b16a,,handshake_failure,,1499083297.639174,192.168.10.9,1074.0,74.125.29.109,465.0,tcp,22.401386976242065,142.0,0.0,SF,True,False,0.0,ShAfDFr,5.0,354.0,3.0,132.0,ssl
1499083329.294268,CV8TZX5AB1oJbWGp,192.168.10.9,1080,172.217.6.227,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,ssl.gstatic.com,False,True,CsxknGIti,"['3652a06d2a0794cc42cb2ae77ec0f8820079b92f0e99feef2e54d75de0f5f118', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,84480cf8cf0e732666092640e581e1a5,,h2,1499083329.257402,192.168.10.9,1080.0,172.217.6.227,443.0,tcp,0.336194992065429,525.0,4565.0,SF,True,False,0.0,ShADadFRf,11.0,977.0,11.0,5017.0,ssl
1499083329.294445,CDRQjAXsUihvTfNk7,192.168.10.9,1081,172.217.6.227,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,ssl.gstatic.com,False,True,CsxknGIti,"['3652a06d2a0794cc42cb2ae77ec0f8820079b92f0e99feef2e54d75de0f5f118', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,84480cf8cf0e732666092640e581e1a5,,h2,1499083329.257653,192.168.10.9,1081.0,172.217.6.227,443.0,tcp,181.31641602516174,1049.0,12807.0,SF,True,False,3264.0,ShADadtgFf,28.0,2205.0,30.0,14103.0,ssl
1499083329.29815,C0xj8w4S0SAiPg5qr8,192.168.10.9,1082,172.217.3.99,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,id.google.ca,False,True,CsxknGIti,"['3652a06d2a0794cc42cb2ae77ec0f8820079b92f0e99feef2e54d75de0f5f118', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,84480cf8cf0e732666092640e581e1a5,,h2,1499083329.260581,192.168.10.9,1082.0,172.217.3.99,443.0,tcp,188.37661004066467,1375.0,5497.0,SF,True,False,0.0,ShADadFf,25.0,2387.0,24.0,6469.0,ssl
1499083330.109601,CvmpfC8dbv0JhxSi,192.168.10.9,1083,52.39.237.157,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,self-repair.mozilla.org,False,True,CsxknGIi,"['6048d4ea4c8bf84c9334da751b6c54a30bbbc195bdba429684208e65ec81a72b', '403e062a2653059113285baf80a0d4ae422c848c9f78fad01fc94bc5b87fef1a']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083330.025527,192.168.10.9,1083.0,52.39.237.157,443.0,tcp,68.45508694648743,2325.0,10104.0,SF,True,False,0.0,ShADadtTFf,21.0,3183.0,20.0,10959.0,ssl
1499083330.175327,CmFOvc2rpRy6YXkZoe,192.168.10.9,1085,52.39.237.157,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,self-repair.mozilla.org,False,True,CsxknGIi,"['6048d4ea4c8bf84c9334da751b6c54a30bbbc195bdba429684208e65ec81a72b', '403e062a2653059113285baf80a0d4ae422c848c9f78fad01fc94bc5b87fef1a']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083330.091331,192.168.10.9,1085.0,52.39.237.157,443.0,tcp,5.416172027587891,357.0,3799.0,SF,True,False,0.0,ShADadtFfR,10.0,769.0,9.0,4214.0,ssl
